,國文,英文,數學,社會,自然
0,9,9,12,12,11
1,8,12,9,10,11
2,15,6,8,14,13
3,9,12,9,15,14
4,6,11,10,10,15
5,14,11,7,14,8
6,7,7,9,12,9
7,13,15,7,13,10
8,14,12,15,8,9
9,12,7,8,9,9
10,9,11,14,11,13
11,11,13,10,12,8
12,9,12,9,12,9
13,15,15,10,12,15
14,9,12,6,6,7
15,6,11,15,15,8
16,10,9,15,6,6
17,13,14,15,8,8
18,7,11,15,7,12
19,7,7,8,11,10
20,9,11,14,9,9
21,11,9,12,13,14
22,14,13,8,14,15
23,10,13,6,8,6
24,8,9,14,6,8
25,7,9,10,8,7
26,13,9,13,8,14
27,11,8,8,9,14
28,6,6,10,10,6
29,14,15,6,6,6
30,6,10,11,14,10
31,9,10,8,14,12
32,10,6,11,14,10
33,9,9,11,6,11
34,12,15,10,10,11
35,6,13,11,15,7
36,14,10,7,12,11
37,11,12,10,10,13
38,11,10,6,7,6
39,9,6,14,9,9
40,10,6,12,14,14
41,10,13,11,14,15
42,8,9,8,6,11
43,6,13,12,8,11
44,14,9,6,14,7
45,15,8,10,6,14
46,9,7,12,6,15
47,13,11,6,8,15
48,11,15,13,7,15
49,6,10,8,10,10
50,9,9,8,6,15
51,15,8,11,9,12
52,12,9,15,14,8
53,8,15,12,10,6
54,12,10,12,7,11
55,10,13,7,9,12
56,12,10,13,7,15
57,14,14,13,6,7
58,8,9,9,12,10
59,14,13,10,13,10
60,12,6,7,12,10
61,14,6,6,11,9
62,6,11,8,13,14
63,10,13,13,12,9
64,12,12,15,7,15
65,14,6,9,14,14
66,10,13,8,12,15
67,6,6,9,15,7
68,8,11,9,14,10
69,12,15,14,8,8
70,15,11,15,9,12
71,13,9,15,11,10
72,10,13,10,8,12
73,14,11,15,8,12
74,11,15,7,6,10
75,8,13,12,11,12
76,8,12,8,6,11
77,10,8,6,12,12
78,6,8,12,8,14
79,11,7,15,13,9
80,6,14,11,10,12
81,15,11,8,15,7
82,15,8,8,9,13
83,10,9,14,10,14
84,15,15,9,6,15
85,8,6,10,13,10
86,11,15,7,12,14
87,15,12,12,15,15
88,6,12,9,12,11
89,8,7,14,14,11
90,12,14,11,12,9
91,11,8,10,13,7
92,7,6,9,11,13
93,15,13,14,9,12
94,10,11,10,9,14
95,10,14,6,8,6
96,13,10,15,8,11
97,11,9,11,6,14
98,10,14,15,6,11
99,13,9,7,7,7
